Name,Tag,Rank,Trophies,3v3Victories,SoloVictories,DuoVictories,BestBrawler,BestBrawlerType
SnakeThug,#CGQCYJGY,1,137026,56090,28240,5519,HANK,Tank
KiraVGX,#P2U2GRQLG,2,134445,26690,10359,9105,STU,Assassin
Kenda,#RQQ08UV,3,134164,49578,7069,6541,FINX,Assassin
Almighty God🐉,#29CVP0V9U,4,131197,45632,14130,5000,MEEPLE,Sharpshooter
Uncle X,#8G2RPPGCL,5,131092,50375,1032,606,MEEPLE,Sharpshooter
有栖,#YQYG2G2V,6,128066,24381,4547,7848,DOUG,Support
×͜×яéǫᴜɪᴇᴍ🥝,#JLCC89P,7,126762,52001,1869,7340,MANDY,Marksman
Prime Wínner〆,#2JUJP2LVR,8,124428,70921,4333,1906,COLT,Damage Dealer
モロク「Moroku」,#28LQG9PU,9,124368,38316,1675,3553,LOLA,Damage Dealer
𝑺𝒆𝒍𝒆𝒏 🩷,#RQ09P9ULY,10,124000,3760,8974,2302,PAM,Support
èbuu31,#8UUY8QG2,11,123524,44392,2855,8612,BUSTER,Tank
SecRet,#YQCY2U89J,12,123496,29569,4682,1424,CORDELIUS,Assassin
tilpd,#9YCVCJ9P9,13,123230,41769,5985,1709,KIT,Support
背刺者𖤐,#P22J8JP8,14,122893,61453,4256,4607,MEEPLE,Sharpshooter
Toki 👽,#YQPU92C0,15,122223,44345,6688,3770,GALE,Controller
Sussne🦥,#PLQQ0R22,16,121960,38784,3114,6183,JANET,Marksman
ᴘᴇᴅɪ 🪶 ʟᴜᴠᴇ?,#Y92UV9GUP,17,121000,24076,3996,1721,NANI,Marksman
FWs|Barney🦖,#200VLU82U,18,120982,18474,14267,19334,BULL,Tank
даня фриланс,#2CYV9R8V9,19,120887,17110,4946,2945,MANDY,Marksman
AFCA|Txaxz,#LPQR2UGQ,20,120765,34516,6368,5258,DOUG,Support
Diorz,#PPQRLLCL8,21,120344,22511,3197,6827,BUSTER,Tank
♛𝓬𝓻𝓪𝔃𝔂❦|火ツ,#LCLR0RPUP,22,120167,31452,3078,2703,MINA,Unknown
Deyan#1,#82R8QL9JP,23,120107,15936,3977,2361,LUMI,Damage Dealer
@kevenprime12🐙,#20PYL2RVP,24,119780,36947,2232,2852,MICO,Assassin
Ď𝒓ịx✨サム,#UL20GLYQ,25,118561,21896,4437,5928,MINA,Unknown
Jmtxhs🃏,#Y8U88GUPV,26,118570,40630,3164,1459,MELODIE,Assassin
Britt🤍Drank,#LYUYC2Y9,27,118446,23341,3272,2338,HANK,Tank
るいまる〜♬おぅおぅ⤴︎,#JYG0Y2QC,28,118116,37711,807,1931,DARRYL,Tank
ShY | LoUsty💞,#9PCRL2VLL,29,117846,19349,8437,2359,MORTIS,Assassin
𝐙𝐞𝐲𝐫𝐢𝐬🪐,#PYQ0YP08,30,117629,28657,6284,11204,OTIS,Controller
🦅Sankiøs,#20CVGPRC9,31,117266,46824,9590,4927,ROSA,Tank
™Babayev🤍027,#8QPPL22P9,32,117209,23000,3782,7499,DOUG,Support
Crxptic🤍,#L80CQUPPJ,33,117024,18360,5422,3670,MEEPLE,Sharpshooter
Morzéy.,#VGGR2RLC,34,117006,23846,5646,7814,SHELLY,Damage Dealer
금신태풍,#YP8LVCCR,35,116697,23771,2723,10686,SURGE,Damage Dealer
HunZz,#20C09UC0Y,36,116661,45798,1170,3576,BO,Controller
HM|RECHAPON🐰,#L80JV2GU9,37,116615,15916,5800,5547,BUSTER,Tank
Mahiru Shiina💛,#YLGR2C8UC,38,116594,28606,752,785,MEEPLE,Sharpshooter
TMN|ᴮᴬᴰsᴀᴍᴜᴇʟ🖤,#UVQ9V8JG,39,116565,34452,7601,3684,OLLIE,Assassin
Disarted ❤️‍🔥,#PLGQVV20L,40,116419,25296,6000,2065,SQUEAK,Controller
Tribe | gas,#8Y9JPUJR8,41,116386,33354,9708,6229,BROCK,Marksman
tt:LilSapatilla,#8JJ0UY2GC,42,116320,31932,3409,2683,SAM,Assassin
★Vℓadaツ★,#2CV28QG2V,43,116318,20019,3247,2270,HANK,Tank
Natsuki Subaru,#9VVGUGCR,44,116237,27945,1710,589,LEON,Assassin
Skywalker,#2LGP8JV90C,45,116011,11012,3615,1080,JANET,Marksman
ᴘᴀᴋɪᴛᴀ✨,#89J2JRQ0,46,115794,33931,5568,9681,SHELLY,Damage Dealer
TB|Situren,#YYVYYLU80,47,115714,32395,1137,2877,TRUNK,Unknown
Mandalina01,#8P2VYCCVG,48,115684,24105,10355,5346,OTIS,Controller
FNX|Snow,#2QRV0G8CY,49,115515,6124,3625,4039,LILY,Assassin
@FronkBS,#8GLG029RG,50,115501,35006,3865,3509,SHELLY,Damage Dealer
Lilipower1,#8020L2QYQ,51,115499,26044,4492,2991,KIT,Support
ÂnyLevêl❤️‍🔥,#88YP0GPGP,52,115419,37346,3587,2637,JAE-YONG,Unknown
ハリネズミ,#2LPY8P0CC,53,115391,18930,2713,2455,DOUG,Support
SST | COBRA,#Y89U0V0QJ,54,115267,12296,5504,1896,SHELLY,Damage Dealer
KS|Zurui,#PUVP29QVQ,55,115195,70589,1661,2533,SHADE,Assassin
GA|Orso,#28Y2QPRV0,56,115073,30027,3902,4283,JACKY,Tank
PS|Menaâceヤ,#YP9YVYQJ,57,115049,6617,4234,6274,LILY,Assassin
RxN|Viper 🐍,#2RLY88CUR,58,115026,47326,20612,5371,ANGELO,Marksman
Fur🌺,#2LCQJCJ0Y,59,115019,22136,6004,2765,CROW,Assassin
ɴᴀᴘᴏʟᴇᴛᴀɴᴏᵍᵒᵈ♧︎,#82CUGJYVC,60,114935,19752,5474,4540,EMZ,Controller
phatpenguin2,#9V90VU88,61,114863,36221,9775,3497,TICK,Artillery
velc,#QLLQQQY2L,62,114800,12856,1909,6476,GALE,Controller
yuber,#2YJYLG0C9,63,114782,27741,4399,4502,FINX,Assassin
Nicky2Sticky,#RUYJQY9VG,64,114781,17999,1894,1458,AMBER,Controller
きゃnちゃん,#R0PJLLR8,65,114748,35874,2053,9089,DOUG,Support
❦Dino|暗い↯,#P9992202,66,114664,45220,3346,4153,BEA,Marksman
Benzito,#2CJLCJLYL,67,114556,63092,1057,4639,MINA,Unknown
とろいめーらい🕊‎🤍,#28CLCLP8UV,68,114478,16216,1641,7072,TICK,Artillery
HEX|EUTANAZJA,#2QRQJ0JQGC,69,114469,27277,1248,1548,CORDELIUS,Assassin
Mytrojacs,#GCRR908VL,70,114320,12974,16829,2010,SURGE,Damage Dealer
キャラメルフラペチーノ,#9GC2PRQYJ,71,114279,37141,4441,3765,CHARLIE,Controller
❀|𝒩𝒾𝒸ℴ🌺 ¹⁰,#2QYPR02GY,72,114145,17843,5111,9863,LILY,Assassin
QLS|Tony,#8JPJ8J9U0,73,114154,29535,5965,8299,EMZ,Controller
slarkevich,#2RY2G2CVU,74,114085,21408,6345,9372,DOUG,Support
SK • Maycon🖤,#YGU92PYU9,75,114013,85457,6871,835,BROCK,Marksman
P𝚊𝚔𝚢𝚢🏆ᵍᵒᵈ,#8PUJC0YVL,76,114001,70461,2192,11450,PIPER,Marksman
Kenyatta,#P009JL2L,77,114000,11319,4001,281,DOUG,Support
Olomoso 306,#2UVJCGL0Y,78,113864,20462,9812,3637,MEEPLE,Sharpshooter
Toxik,#2L9RUJ0RL,79,113860,15833,6283,3760,MEEPLE,Sharpshooter
Birne,#9JYUUJRGY,80,113836,22527,6118,3937,MINA,Unknown
〆|ζ͜ƦʙʟƦεɨʂ⸙〆|ζ,#2Q2JGU98R,81,113789,38223,859,7607,OLLIE,Assassin
StephenCURRY🍬,#9Y9GJRGCC,82,113649,19034,8850,2751,KENJI,Assassin
