Name,Tag,Rank,ExpPoints,Trophies,3v3Victories,SoloVictories,DuoVictories,BestBrawler,BestBrawlerType
Uncle X,#8G2RPPGCL,1,580689,138031,51345,1032,606,MEEPLE,Sharpshooter
Kenda,#RQQ08UV,2,835740,138000,49983,7101,6541,FINX,Assassin
KiraVGX,#P2U2GRQLG,3,746514,137283,26986,10402,9266,STU,Assassin
SnakeThug,#CGQCYJGY,4,1093444,137176,56118,28264,5519,HANK,Tank
Almighty God🐉,#29CVP0V9U,5,993658,135682,45637,14457,5000,MEEPLE,Sharpshooter
有栖,#YQYG2G2V,6,532034,131689,24840,4658,7856,DOUG,Support
×͜×яéǫᴜɪᴇᴍ🥝,#JLCC89P,7,689222,130636,52306,1877,7471,MANDY,Marksman
モロク「Moroku」,#28LQG9PU,8,565476,129136,38816,1680,3553,LOLA,Damage Dealer
tilpd,#9YCVCJ9P9,9,695792,127747,41953,6309,1709,KIT,Support
背刺者𖤐,#P22J8JP8,10,927098,127564,61942,4256,4607,MEEPLE,Sharpshooter
𝑺𝒆𝒍𝒆𝒏 🩷,#RQ09P9ULY,11,293792,127382,3807,9335,2304,PAM,Support
èbuu31,#8UUY8QG2,12,844663,125984,44750,2863,8612,BUSTER,Tank
OG|SecRet,#YQCY2U89J,13,465091,125257,29711,4833,1424,CORDELIUS,Assassin
Toki 👽,#YQPU92C0,14,768283,125140,44502,6803,3793,GALE,Controller
Sussne🦥,#PLQQ0R22,15,663772,124555,38990,3177,6183,JANET,Marksman
Prime Wínner〆,#2JUJP2LVR,16,974904,124428,70923,4333,1906,COLT,Damage Dealer
♛𝓬𝓻𝓪𝔃𝔂❦|火ツ,#LCLR0RPUP,17,498466,123841,31727,3165,2703,MINA,Unknown
Diorz,#PPQRLLCL8,18,447541,123548,22659,3292,6846,BUSTER,Tank
FWs|Barney🦖,#200VLU82U,19,1097857,123280,18611,14344,19347,BULL,Tank
даня фриланс,#2CYV9R8V9,20,508349,122711,17361,4955,3038,MANDY,Marksman
ᴘᴇᴅɪ 🪶 ʟᴜᴠᴇ?,#Y92UV9GUP,21,414324,122518,24078,4120,1721,NANI,Marksman
Txaxz.,#LPQR2UGQ,22,696944,122154,34754,6398,5265,DOUG,Support
Jmtxhs🃏,#Y8U88GUPV,23,551540,121706,40945,3211,1499,MELODIE,Assassin
@kevenprime12🐙,#20PYL2RVP,24,521412,121459,37172,2238,2881,MICO,Assassin
Egoist.,#82R8QL9JP,25,381192,120107,15971,3977,2361,LUMI,Damage Dealer
𝐙𝐞𝐲𝐫𝐢𝐬🪐,#PYQ0YP08,26,821673,120049,28677,6448,11205,OTIS,Controller
금신태풍,#YP8LVCCR,27,609404,120016,23835,2882,10722,SURGE,Damage Dealer
HunZz,#20C09UC0Y,28,674820,120000,46030,1256,3578,MANDY,Marksman
™Babayev🤍027,#8QPPL22P9,29,603102,119995,23030,3922,7515,DOUG,Support
Britt🤍Drank,#LYUYC2Y9,30,400688,119705,23468,3295,2338,HANK,Tank
Crxptic🤍,#L80CQUPPJ,31,436751,119442,18679,5426,3714,MEEPLE,Sharpshooter
ShY | LoUsty💞,#9PCRL2VLL,32,506790,119406,19359,8545,2359,MORTIS,Assassin
FNX|Snow,#2QRV0G8CY,33,297612,119304,6125,3839,4040,LILY,Assassin
★Vℓadaツ★,#2CV28QG2V,34,433857,119231,20029,3438,2270,HANK,Tank
Skywalker,#2LGP8JV90C,35,240606,119113,11022,3744,1080,JANET,Marksman
ᴘᴀᴋɪᴛᴀ✨,#89J2JRQ0,36,837082,119094,33931,5783,9696,SHELLY,Damage Dealer
Morzéy.,#VGGR2RLC,37,653769,119005,23850,5804,7814,R-T,Damage Dealer
Natsuki Subaru,#9VVGUGCR,38,450082,118812,27976,1825,589,R-T,Damage Dealer
HEX|EUTANAZJA,#2QRQJ0JQGC,39,303449,118784,27675,1314,1548,CORDELIUS,Assassin
